Route_completion,Vehicles_collisions_number,Pedestrians_collisions_number,Statics_collisions_number,Stop_violations_number,Light_violations_number,Speed_limit_violations_number,Vehicle_got_blocked,Off_road_event_time
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,1,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,1,0,1.0
1,0,0,0,0,0,1,0,1.0
1,0,0,0,0,0,1,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
0.84,11,0,20,0,0,0,1,1.0
1,0,0,0,0,0,1,0,1.0
1,0,0,0,0,0,1,0,1.0
1,0,0,0,0,0,2,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,1,0,1.0
1,0,0,0,0,0,1,0,1.0
1,0,0,0,0,0,1,0,1.0
1,0,0,0,0,0,0,0,0.99
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,0.97
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,0.99
1,0,0,0,0,0,0,0,0.99
1,0,0,0,0,0,0,0,0.94
1,0,0,0,0,0,2,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,0.89
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,1,0,1.0
1,0,0,0,0,0,1,0,0.8
1,0,1,0,1,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,1,0,1.0
1,0,0,0,0,0,1,0,1.0
1,0,0,0,0,0,1,0,1.0
1,2,0,0,0,0,2,0,1.0
1,0,0,0,0,0,0,0,1.0
1,6,0,0,0,0,0,0,1.0
1,0,0,0,0,0,2,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,1,0,0,0,0,2,0,1.0
